player_id,last_transfer_to_club_id,last_transfer_date,last_transfer_fee,last_transfer_club_name,last_transfer_club_country,last_transfer_club_league,last_transfer_club_league_tier
474779,715,2023-08-29,?,Bohemians Prague 1905,Czech Republic,Fortuna Liga,First Tier
474800,826,2020-07-02,€3.50m,RC Lens,France,Ligue 1,First Tier
474804,450,2022-07-18,?,FK Dukla Prague,Czech Republic,Fortuna Narodni liga,Second Tier
474838,515,2024-07-01,,,,,
475188,1003,2021-07-01,,Leicester City,England,Championship,Second Tier
475208,968,2023-07-30,€3.50m,KVC Westerlo,Belgium,Jupiler Pro League,First Tier
475407,1465,2019-07-01,?,GD Estoril Praia,Portugal,Liga Portugal,First Tier
475411,631,2022-08-31,€80.40m,Chelsea FC,England,Premier League,First Tier
475413,27,2024-01-28,€30.00m,Bayern Munich,Germany,Bundesliga,First Tier
475416,1110,2023-05-31,End of loan,Huddersfield Town,England,Championship,Second Tier
475959,281,2023-08-05,€90.00m,Manchester City,England,Premier League,First Tier
476167,2761,2022-09-09,?,FK Haugesund,Norway,Eliteserien,First Tier
476219,370,2022-07-01,€650k,Aberdeen FC,Scotland,Scottish Premiership,First Tier
476344,148,2021-08-31,€25.00m,Tottenham Hotspur,England,Premier League,First Tier
476352,1114,2024-01-17,€23.00m,Al-Hilal SFC,Saudi Arabia,Saudi Pro League,First Tier
476701,583,2023-07-07,€60.00m,Paris Saint-Germain,France,Ligue 1,First Tier
476836,415,2023-09-01,€4.50m,FC Toulouse,France,Ligue 1,First Tier
477460,520,2020-02-06,,Cercle Brugge,Belgium,Jupiler Pro League,First Tier
477477,2293,2024-01-16,?,Konyaspor,Türkiye,Süper Lig,First Tier
477758,985,2019-07-01,€55.00m,Manchester United,England,Premier League,First Tier
477924,449,2021-06-30,End of loan,Trabzonspor,Türkiye,Süper Lig,First Tier
477938,3840,2024-06-30,End of loan,Adana Demirspor,Türkiye,Süper Lig,First Tier
478365,3329,2023-07-01,€1.00m,FC Famalicão,Portugal,Liga Portugal,First Tier
478366,2503,2019-09-02,?,Boavista FC,Portugal,Liga Portugal,First Tier
478528,18487,2018-07-01,,Al-Ahli SFC,Saudi Arabia,Saudi Pro League,First Tier
478573,31,2023-09-01,€40.00m,Liverpool FC,England,Premier League,First Tier
479268,255,2023-09-03,€650k,Legia Warszawa,Poland,PKO BP Ekstraklasa,First Tier
479638,294,2023-06-30,End of loan,SL Benfica,Portugal,Liga Portugal,First Tier
479641,903,2022-07-01,free transfer,Hibernian FC,Scotland,Scottish Premiership,First Tier
479648,41101,2024-06-30,End of loan,Juventus Next Gen,Italy,Serie C - Girone B,Third Tier
479675,7154,2023-01-13,€150k,Radomiak Radom,Poland,PKO BP Ekstraklasa,First Tier
479999,873,2020-08-28,€17.80m,Crystal Palace,England,Premier League,First Tier
480116,515,2024-07-01,,,,,
480189,941,2024-06-30,End of loan,FC Viktoria Plzen,Czech Republic,Fortuna Liga,First Tier
480267,131,2020-10-05,,FC Barcelona,Spain,LaLiga,First Tier
480692,31,2022-01-30,€50.00m,Liverpool FC,England,Premier League,First Tier
480762,985,2022-07-27,€57.37m,Manchester United,England,Premier League,First Tier
480883,1108,2024-06-30,End of loan,Deportivo Alavés,Spain,LaLiga,First Tier
480975,968,2024-01-31,€2.34m,KVC Westerlo,Belgium,Jupiler Pro League,First Tier
480987,989,2019-01-22,€13.60m,AFC Bournemouth,England,Premier League,First Tier
481084,366,2023-08-29,€1.80m,Real Valladolid CF,Spain,LaLiga2,Second Tier
481116,2727,2023-08-29,€1.50m,Oud-Heverlee Leuven,Belgium,Jupiler Pro League,First Tier
481128,126,2023-09-09,?,Caykur Rizespor,Türkiye,Süper Lig,First Tier
481171,9010,2022-07-01,free transfer,FCV Dender EH,Belgium,Challenger Pro League,Second Tier
481623,1010,2024-06-30,End of loan,Watford FC,England,Championship,Second Tier
481627,3325,2023-07-01,free transfer,GD Chaves,Portugal,Liga Portugal,First Tier
481628,1465,2022-07-01,free transfer,GD Estoril Praia,Portugal,Liga Portugal,First Tier
481675,398,2023-09-01,€1.30m,SS Lazio,Italy,Serie A,First Tier
482072,520,2021-01-10,€2.00m,Cercle Brugge,Belgium,Jupiler Pro League,First Tier
482144,2462,2024-12-31,End of loan,Fluminense Football Club,Brazil,Campeonato Brasileiro Série A,First Tier
482386,28082,2024-06-30,End of loan,FC Ballkani,Kosovo,Superliga e Kosovës,First Tier
482801,3031,2023-07-01,free transfer,Queen's Park FC,Scotland,Scottish Championship,Second Tier
483046,27,2024-06-30,End of loan,Bayern Munich,Germany,Bundesliga,First Tier
483063,7732,2024-06-30,End of loan,Al-Ettifaq FC,Saudi Arabia,Saudi Pro League,First Tier
483348,148,2024-06-30,End of loan,Tottenham Hotspur,England,Premier League,First Tier
484547,15,2021-01-27,€11.00m,Bayer 04 Leverkusen,Germany,Bundesliga,First Tier
484743,969,2024-06-30,End of loan,Montpellier HSC,France,Ligue 1,First Tier
484888,618,2023-07-06,free transfer,AS Saint-Étienne,France,Ligue 2,Second Tier
484988,415,2021-08-20,€500k,FC Toulouse,France,Ligue 1,First Tier
484992,618,2020-07-01,,AS Saint-Étienne,France,Ligue 2,Second Tier
485424,3057,2023-09-05,€3.50m,Standard Liège,Belgium,Jupiler Pro League,First Tier
485583,543,2024-05-31,End of loan,Wolverhampton Wanderers,England,Premier League,First Tier
485584,317,2024-02-01,€1.00m,Twente Enschede FC,Netherlands,Eredivisie,First Tier
485585,631,2024-06-30,End of loan,Chelsea FC,England,Premier League,First Tier
485706,29,2022-08-09,€35.00m,Everton FC,England,Premier League,First Tier
485747,2036,2022-07-01,free transfer,1.FC Heidenheim 1846,Germany,Bundesliga,First Tier
485960,3911,2021-07-01,€1.75m,Stade Brestois 29,France,Ligue 1,First Tier
485963,244,2023-06-30,End of loan,Olympique Marseille,France,Ligue 1,First Tier
485965,82,2024-06-30,End of loan,VfL Wolfsburg,Germany,Bundesliga,First Tier
486031,430,2021-07-01,€24.50m,ACF Fiorentina,Italy,Serie A,First Tier
486039,1184,2023-01-18,€2.00m,KRC Genk,Belgium,Jupiler Pro League,First Tier
486046,23826,2024-07-01,€10.00m,RB Leipzig,Germany,Bundesliga,First Tier
486049,281,2023-08-24,€60.00m,Manchester City,England,Premier League,First Tier
486051,58,2024-06-30,End of loan,RSC Anderlecht,Belgium,Jupiler Pro League,First Tier
486053,601,2022-01-21,€200k,KV Kortrijk,Belgium,Jupiler Pro League,First Tier
486054,41274,2023-07-01,free transfer,Beerschot V.A.,Belgium,Challenger Pro League,Second Tier
486057,500,2023-07-07,free transfer,Helmond Sport,Netherlands,Keuken Kampioen Divisie,Second Tier
486111,13726,2020-12-31,End of loan,MFK Karvina,Czech Republic,Fortuna Liga,First Tier
486144,1003,2023-07-01,,Leicester City,England,Championship,Second Tier
486210,6621,2024-02-09,free transfer,FK Cukaricki,Serbia,Super liga Srbije,First Tier
486604,9252,2024-06-30,End of loan,Liverpool FC U21,England,Premier League 2,Reserve league
486605,377,2023-07-03,?,FC Banik Ostrava,Czech Republic,Fortuna Liga,First Tier
486608,7087,2023-08-30,free transfer,MFK Ruzomberok,Slovakia,Nike Liga,First Tier
486618,814,2022-12-31,End of loan,FK Teplice,Czech Republic,Fortuna Liga,First Tier
486624,28844,2023-09-04,€8.50m,Al-Taawoun FC,Saudi Arabia,Saudi Pro League,First Tier
486628,697,2023-07-04,?,FC Slovan Liberec,Czech Republic,Fortuna Liga,First Tier
486748,6483,2024-06-30,End of loan,AC Sparta Prague B,Czech Republic,Fortuna Narodni liga,Second Tier
486788,1897,2023-01-26,€32k,FC Hradec Kralove,Czech Republic,Fortuna Liga,First Tier
487114,1058,2021-01-19,free transfer,Odds BK,Norway,Eliteserien,First Tier
487167,255,2024-06-30,End of loan,Legia Warszawa,Poland,PKO BP Ekstraklasa,First Tier
487357,450,2022-07-01,?,FK Dukla Prague,Czech Republic,Fortuna Narodni liga,Second Tier
487465,543,2019-08-02,€17.90m,Wolverhampton Wanderers,England,Premier League,First Tier
487469,583,2022-07-01,€41.50m,Paris Saint-Germain,France,Ligue 1,First Tier
487474,720,2024-07-01,€10.00m,FC Porto,Portugal,Liga Portugal,First Tier
487850,35,2023-01-19,€600k,FC St. Pauli,Germany,2. Bundesliga,Second Tier
487969,583,2023-09-01,€95.00m,Paris Saint-Germain,France,Ligue 1,First Tier
488052,14,2024-06-30,End of loan,Austria Vienna,Austria,Bundesliga,First Tier
488296,1455,2023-07-26,€250k,FC Dordrecht,Netherlands,Keuken Kampioen Divisie,Second Tier
488362,631,2022-07-01,,Chelsea FC,England,Premier League,First Tier
488626,331,2023-06-30,End of loan,CA Osasuna,Spain,LaLiga,First Tier
488755,610,2023-08-06,€3.00m,Ajax Amsterdam,Netherlands,Eredivisie,First Tier
488784,607,2022-07-01,€510k,Venezia FC,Italy,Serie B,Second Tier
488785,515,2024-07-01,,,,,
488869,1321,2022-07-01,,SK Dynamo Ceske Budejovice,Czech Republic,Fortuna Liga,First Tier
488870,1496,2018-07-01,,FK Pardubice,Czech Republic,Fortuna Liga,First Tier
488872,1897,2023-07-01,free transfer,FC Hradec Kralove,Czech Republic,Fortuna Liga,First Tier
488935,1148,2024-01-26,€3.00m,Brentford FC,England,Premier League,First Tier
488996,1005,2024-06-30,End of loan,US Lecce,Italy,Serie A,First Tier
489463,371,2021-07-19,€5.40m,Celtic FC,Scotland,Scottish Premiership,First Tier
489854,88,2024-01-19,€250k,Widzew Lodz,Poland,PKO BP Ekstraklasa,First Tier
490384,252,2024-07-01,€8.00m,Genoa CFC,Italy,Serie A,First Tier
490417,1420,2023-07-01,€500k,Angers SCO,France,Ligue 2,Second Tier
490423,409,2024-06-30,End of loan,Red Bull Salzburg,Austria,Bundesliga,First Tier
490426,162,2021-01-21,€16.70m,AS Monaco,France,Ligue 1,First Tier
490606,631,2024-12-31,End of loan,Chelsea FC,England,Premier League,First Tier
490609,39,2021-07-01,,1.FSV Mainz 05,Germany,Bundesliga,First Tier
490621,653,2023-01-10,free transfer,OFI Crete FC,Greece,Super League 1,First Tier
490760,3268,2023-07-07,?,Casa Pia AC,Portugal,Liga Portugal,First Tier
490967,369,2024-07-01,€400k,Lyngby BK,Denmark,Superliga,First Tier
491039,419,2021-06-30,End of loan,GNK Dinamo Zagreb,Croatia,SuperSport HNL,First Tier
491296,1132,2024-05-31,End of loan,Burnley FC,England,Premier League,First Tier
491298,2727,2022-07-01,€750k,Oud-Heverlee Leuven,Belgium,Jupiler Pro League,First Tier
491616,1095,2024-06-30,End of loan,ESTAC Troyes,France,Ligue 2,Second Tier
491693,410,2022-07-29,€8.00m,Udinese Calcio,Italy,Serie A,First Tier
491737,2282,2023-01-14,?,Club Brugge KV,Belgium,Jupiler Pro League,First Tier
491966,449,2024-06-30,End of loan,Trabzonspor,Türkiye,Süper Lig,First Tier
492319,336,2022-07-05,€648k,Sporting CP,Portugal,Liga Portugal,First Tier
492634,3948,2023-07-01,free transfer,Union Saint-Gilloise,Belgium,Jupiler Pro League,First Tier
492715,828,2021-02-01,free transfer,Urawa Red Diamonds,Japan,J1 League,First Tier
493003,873,2024-01-30,€8.00m,Crystal Palace,England,Premier League,First Tier
493513,11,2022-07-01,,Arsenal FC,England,Premier League,First Tier
493758,62,2022-07-01,€530k,SK Slavia Prague,Czech Republic,Fortuna Liga,First Tier
493763,5546,2020-08-18,?,FK Mlada Boleslav,Czech Republic,Fortuna Liga,First Tier
494177,195,2023-08-03,End of loan,Rosenborg BK,Norway,Eliteserien,First Tier
494236,3524,2023-07-12,€1.90m,Clermont Foot 63,France,Ligue 1,First Tier
494880,1050,2022-06-30,End of loan,Villarreal CF,Spain,LaLiga,First Tier
495621,1108,2023-07-25,€4.00m,Deportivo Alavés,Spain,LaLiga,First Tier
495629,1049,2020-07-01,,Valencia CF,Spain,LaLiga,First Tier
495666,11,2022-06-30,End of loan,Arsenal FC,England,Premier League,First Tier
495667,1047,2023-01-16,€400k,Como 1907,Italy,Serie B,Second Tier
495669,10004,2023-06-30,End of loan,Paris FC,France,Ligue 2,Second Tier
496094,16,2022-07-01,€30.00m,Borussia Dortmund,Germany,Bundesliga,First Tier
496268,1023,2021-07-31,€3.20m,Sociedade Esportiva Palmeiras,Brazil,Campeonato Brasileiro Série A,First Tier
496652,903,2023-07-05,€350k,Hibernian FC,Scotland,Scottish Premiership,First Tier
496656,371,2022-01-01,€1.53m,Celtic FC,Scotland,Scottish Premiership,First Tier
496660,164,2024-05-31,End of loan,Blackburn Rovers,England,Championship,Second Tier
496745,3522,2024-06-30,End of loan,Spezia Calcio,Italy,Serie B,Second Tier
496857,1082,2022-01-14,€7.00m,LOSC Lille,France,Ligue 1,First Tier
497175,332,2024-06-30,End of loan,SSC Bari,Italy,Serie B,Second Tier
497291,703,2023-09-01,€10.00m,Nottingham Forest,England,Premier League,First Tier
497816,377,2024-01-01,?,FC Banik Ostrava,Czech Republic,Fortuna Liga,First Tier
498237,720,2024-06-30,End of loan,FC Porto,Portugal,Liga Portugal,First Tier
498529,36,2024-06-30,End of loan,Fenerbahce,Türkiye,Süper Lig,First Tier
498688,11698,2023-01-01,,San Francisco FC,Panama,Liga Panameña de Fútbol Apertura,First Tier
499324,1277,2022-01-28,?,FC Schaffhausen,Switzerland,Challenge League,Second Tier
499574,5546,2022-01-30,End of loan,FK Mlada Boleslav,Czech Republic,Fortuna Liga,First Tier
499758,2282,2023-07-03,€7.75m,Club Brugge KV,Belgium,Jupiler Pro League,First Tier
499759,865,2023-09-01,€2.50m,FC Midtjylland,Denmark,Superliga,First Tier
499859,238,2022-01-12,€1.10m,Lech Poznan,Poland,PKO BP Ekstraklasa,First Tier
500051,8541,2023-07-18,free transfer,FK Varnsdorf,Czech Republic,Fortuna Narodni liga,Second Tier
500053,941,2023-06-30,End of loan,FC Viktoria Plzen,Czech Republic,Fortuna Liga,First Tier
500054,294,2024-06-30,End of loan,SL Benfica,Portugal,Liga Portugal,First Tier
500055,1897,2024-06-30,End of loan,FC Hradec Kralove,Czech Republic,Fortuna Liga,First Tier
500067,515,2024-07-01,,,,,
500091,114,2018-07-01,,Besiktas JK,Türkiye,Süper Lig,First Tier
500308,515,2024-07-01,,,,,
500640,1057,2023-08-04,free transfer,Bryne FK,Norway,OBOS-ligaen,Second Tier
500689,417,2023-06-30,End of loan,OGC Nice,France,Ligue 1,First Tier
501049,35,2024-01-27,€650k,FC St. Pauli,Germany,2. Bundesliga,Second Tier
501418,368,2023-07-01,free transfer,Sevilla FC,Spain,LaLiga,First Tier
501569,443,2024-02-13,free transfer,Vejle Boldklub,Denmark,Superliga,First Tier
501629,195,2022-08-15,€300k,Rosenborg BK,Norway,Eliteserien,First Tier
501699,32682,2022-01-25,free transfer,Levanger FK,Norway,OBOS-ligaen,Second Tier
501710,3837,2023-03-14,?,Fredrikstad FK,Norway,Eliteserien,First Tier
501737,294,2023-07-01,,SL Benfica,Portugal,Liga Portugal,First Tier
501818,23184,2021-08-01,?,KFUM-Kameratene Oslo,Norway,Eliteserien,First Tier
501821,23184,2022-08-05,?,KFUM-Kameratene Oslo,Norway,Eliteserien,First Tier
501989,2761,2020-01-13,?,FK Haugesund,Norway,Eliteserien,First Tier
502074,7378,2023-07-01,free transfer,Portimonense SC,Portugal,Liga Portugal,First Tier
502239,1096,2021-07-04,€5.00m,Royal Antwerp FC,Belgium,Jupiler Pro League,First Tier
502245,601,2022-07-01,free transfer,KV Kortrijk,Belgium,Jupiler Pro League,First Tier
502247,58,2023-07-08,€3.50m,RSC Anderlecht,Belgium,Jupiler Pro League,First Tier
502261,3948,2022-07-01,,Union Saint-Gilloise,Belgium,Jupiler Pro League,First Tier
502298,968,2023-07-05,?,KVC Westerlo,Belgium,Jupiler Pro League,First Tier
502302,58,2019-01-01,,RSC Anderlecht,Belgium,Jupiler Pro League,First Tier
502452,475,2022-07-01,?,Sint-Truidense VV,Belgium,Jupiler Pro League,First Tier
502558,501,2023-01-26,€1.00m,FK Bodø/Glimt,Norway,Eliteserien,First Tier
502670,6195,2022-07-01,€13.30m,SSC Napoli,Italy,Serie A,First Tier
502722,409,2020-08-01,,Red Bull Salzburg,Austria,Bundesliga,First Tier
502821,1025,2023-08-31,€4.00m,Bologna FC 1909,Italy,Serie A,First Tier
502907,1057,2023-01-19,free transfer,Bryne FK,Norway,OBOS-ligaen,Second Tier
503075,800,2024-01-02,€8.50m,Atalanta BC,Italy,Serie A,First Tier
503160,39,2024-06-30,End of loan,1.FSV Mainz 05,Germany,Bundesliga,First Tier
503162,1096,2024-06-30,End of loan,Royal Antwerp FC,Belgium,Jupiler Pro League,First Tier
503258,1058,2024-03-30,?,Odds BK,Norway,Eliteserien,First Tier
503432,450,2021-01-21,?,FK Dukla Prague,Czech Republic,Fortuna Narodni liga,Second Tier
503482,27,2023-07-18,€50.00m,Bayern Munich,Germany,Bundesliga,First Tier
503640,234,2024-06-30,End of loan,Feyenoord Rotterdam,Netherlands,Eredivisie,First Tier
503680,703,2022-07-10,€20.00m,Nottingham Forest,England,Premier League,First Tier
503688,1181,2024-05-31,End of loan,Blackpool FC,England,League One,Third Tier
503731,515,2024-07-01,,,,,
503733,762,2023-01-29,€45.60m,Newcastle United,England,Premier League,First Tier
503743,405,2024-02-01,€9.40m,Aston Villa,England,Premier League,First Tier
503749,405,2020-07-01,,Aston Villa,England,Premier League,First Tier
503770,162,2023-08-30,€30.00m,AS Monaco,France,Ligue 1,First Tier
503865,1092,2023-01-25,?,IF Brommapojkarna,Sweden,Allsvenskan,First Tier
503866,501,2022-08-15,€3.30m,FK Bodø/Glimt,Norway,Eliteserien,First Tier
503871,252,2022-01-30,€3.90m,Genoa CFC,Italy,Serie A,First Tier
503881,82,2023-06-30,End of loan,VfL Wolfsburg,Germany,Bundesliga,First Tier
503883,1096,2023-07-01,free transfer,Royal Antwerp FC,Belgium,Jupiler Pro League,First Tier
503963,6038,2021-12-31,End of loan,SK Sigma Olomouc B,Czech Republic,Fortuna Narodni liga,Second Tier
503966,2311,2020-08-01,,SK Sigma Olomouc,Czech Republic,Fortuna Liga,First Tier
503975,543,2024-05-31,End of loan,Wolverhampton Wanderers,England,Premier League,First Tier
503977,180,2024-07-01,€23.00m,Southampton FC,England,Championship,Second Tier
503981,762,2023-08-08,€37.20m,Newcastle United,England,Premier League,First Tier
503987,631,2023-01-20,€35.00m,Chelsea FC,England,Premier League,First Tier
503990,2288,2022-07-01,€465k,Swansea City,England,Championship,Second Tier
503991,5,2023-08-04,€20.00m,AC Milan,Italy,Serie A,First Tier
504072,294,2023-01-01,,SL Benfica,Portugal,Liga Portugal,First Tier
504073,336,2023-06-30,End of loan,Sporting CP,Portugal,Liga Portugal,First Tier
504075,3268,2023-07-01,free transfer,Casa Pia AC,Portugal,Liga Portugal,First Tier
504087,294,2023-06-30,End of loan,SL Benfica,Portugal,Liga Portugal,First Tier
504090,294,2024-06-30,End of loan,SL Benfica,Portugal,Liga Portugal,First Tier
504107,10586,2024-01-16,€300k,Aris Limassol,Cyprus,Protathlima Cyta,First Tier
504148,1237,2020-01-31,€1.20m,Brighton & Hove Albion,England,Premier League,First Tier
504153,18,2021-01-01,€1.80m,Borussia Mönchengladbach,Germany,Bundesliga,First Tier
504189,62,2023-07-05,€1.50m,SK Slavia Prague,Czech Republic,Fortuna Liga,First Tier
504209,607,2021-08-09,€6.00m,Venezia FC,Italy,Serie B,Second Tier
504215,16,2024-06-30,End of loan,Borussia Dortmund,Germany,Bundesliga,First Tier
504245,1059,2022-11-30,End of loan,Hammarby IF,Sweden,Allsvenskan,First Tier
504503,2420,2023-07-01,free transfer,Vitória Guimarães SC,Portugal,Liga Portugal,First Tier
504543,2759,2022-07-01,free transfer,Ross County FC,Scotland,Scottish Premiership,First Tier
504601,88,2024-06-30,End of loan,Widzew Lodz,Poland,PKO BP Ekstraklasa,First Tier
504809,715,2024-07-01,free transfer,Bohemians Prague 1905,Czech Republic,Fortuna Liga,First Tier
504849,1237,2022-06-30,End of loan,Brighton & Hove Albion,England,Premier League,First Tier
505194,1003,2024-05-31,End of loan,Leicester City,England,Championship,Second Tier
505219,29,2022-09-01,€10.40m,Everton FC,England,Premier League,First Tier
505324,80,2024-01-30,?,VfL Bochum,Germany,Bundesliga,First Tier
505653,543,2024-06-30,End of loan,Wolverhampton Wanderers,England,Premier League,First Tier
505655,10330,2021-07-01,,SL Benfica B,Portugal,Liga Portugal 2,Second Tier
505673,13,2024-06-30,End of loan,Atlético de Madrid,Spain,LaLiga,First Tier
505674,367,2023-08-17,€5.00m,Rayo Vallecano,Spain,LaLiga,First Tier
506189,379,2024-05-31,End of loan,West Ham United,England,Premier League,First Tier
506248,714,2022-08-08,€4.50m,RCD Espanyol Barcelona,Spain,LaLiga2,Second Tier
506470,703,2024-05-31,End of loan,Nottingham Forest,England,Premier League,First Tier
506658,1496,2023-07-06,?,FK Pardubice,Czech Republic,Fortuna Liga,First Tier
